Ref,Val,Package,PosX,PosY,Rot,Side
"C_3V3","22uF 10V","C_1206_3216Metric",1.181102,-0.944882,0.000000,top
"C_BST","100nF","C_0603_1608Metric",0.866142,-1.417323,0.000000,top
"C_IN","10uF 50V","C_1206_3216Metric",1.181102,-0.472441,0.000000,top
"D1","SMBJ24A","D_SMB",1.181102,-1.889764,0.000000,top
"D2","LIN_A ESD","D_SOD-323",2.677165,-0.787402,0.000000,top
"D3","LIN_B ESD","D_SOD-323",3.070866,-1.574803,0.000000,top
"D4","USB ESD","SOT-23-6",3.307087,-0.393701,0.000000,top
"F1","1812 PPTC","Fuse_1812_4532Metric",0.629921,-1.968504,0.000000,top
"FB1","1206 ferrite","L_1206_3216Metric",1.732283,-1.889764,0.000000,top
"FID1","FID","Fiducial_1mm_Mask2mm",1.653543,-0.196850,0.000000,top
"FID2","FID","Fiducial_1mm_Mask2mm",2.992126,-0.196850,0.000000,top
"FID3","FID","Fiducial_1mm_Mask2mm",3.779528,-2.204724,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",3.779528,-0.472441,90.000000,top
"L1","10uH","L_Bourns_SRU5016_5.2x5.2mm",0.629921,-0.944882,0.000000,top
"Q1","AO4407A PFET","SOIC-8_3.9x4.9mm_P1.27mm",0.393701,-1.732283,0.000000,top
"REF**","MH3.2","MountingHole_3.2mm_M3",3.779528,-0.157480,0.000000,top
"REF**","MH3.2","MountingHole_3.2mm_M3",0.157480,-2.204724,0.000000,top
"REF**","MH3.2","MountingHole_3.2mm_M3",3.779528,-2.204724,0.000000,top
"REF**","MH3.2","MountingHole_3.2mm_M3",0.157480,-0.157480,0.000000,top
"R_ARMSENSE_PD","0603","R_0603_1608Metric",3.070866,-1.259843,0.000000,top
"R_BOOT","0603","R_0603_1608Metric",3.188976,-1.811024,0.000000,top
"R_BUCK_EN","0603","R_0603_1608Metric",0.787402,-1.574803,0.000000,top
"R_BUCK_RON","0603","R_0603_1608Metric",0.984252,-1.574803,0.000000,top
"R_CC1","0603","R_0603_1608Metric",2.992126,-2.047244,0.000000,top
"R_CC2","0603","R_0603_1608Metric",3.188976,-2.047244,0.000000,top
"R_EN","0603","R_0603_1608Metric",2.992126,-1.811024,0.000000,top
"R_FB_BOT","0603","R_0603_1608Metric",0.590551,-1.574803,0.000000,top
"R_FB_TOP","0603","R_0603_1608Metric",0.393701,-1.574803,0.000000,top
"R_LINA_SER","0603","R_0603_1608Metric",3.070866,-0.314961,0.000000,top
"R_LINB_SER","0603","R_0603_1608Metric",2.677165,-1.259843,0.000000,top
"R_LINEN_PD","0603","R_0603_1608Metric",2.874016,-1.259843,0.000000,top
"R_PGOOD_PU","0603","R_0603_1608Metric",1.181102,-1.574803,0.000000,top
"R_WAKE_A","0603","R_0603_1608Metric",2.677165,-0.314961,0.000000,top
"R_WAKE_B","0603","R_0603_1608Metric",2.874016,-0.314961,0.000000,top
"SW1","DPDT ARM","SW_DPDT_CK_JS202011JCQN",2.598425,-1.811024,0.000000,top
"U1","ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U",3.543307,-1.259843,0.000000,top
"U2","TJA1021T car","SOIC-8_3.9x4.9mm_P1.27mm",1.889764,-0.314961,0.000000,top
"U3","TJA1021T wheel","SOIC-8_3.9x4.9mm_P1.27mm",1.889764,-1.259843,0.000000,top
"U4","LM5164DDA","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias",0.629921,-0.472441,0.000000,top
